,country,year,co2_per_capita,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2
273,Afghanistan,2023,0.266,236.841,2.553,63.161,5.956,20.386,144.785,
547,Africa,2023,0.959,52596.176,2106.411,21422.73,3687.031,6995.471,18384.529,
721,Africa (GCP),2023,,,,,,,,
895,Albania,2023,1.83,304.173,27.326,69.325,0.152,16.856,190.514,
1069,Algeria,2023,3.859,5263.69,253.632,118.753,767.07,2350.449,1773.786,
1343,Andorra,2023,5.242,16.236,0.0,0.0,0.0,0.038,16.198,
1517,Angola,2023,0.565,715.34,28.327,,275.457,49.896,360.06,
1691,Anguilla,2023,10.012,3.478,0.0,,0.0,,3.478,
1965,Antarctica,2023,,0.154,0.0,,0.0,,,
2139,Antigua and Barbuda,2023,6.909,26.261,0.0,,0.0,,26.238,
2313,Argentina,2023,4.3,9012.649,211.479,542.351,171.031,3152.02,4935.768,
2491,Armenia,2023,2.585,398.829,16.191,44.044,2.157,173.877,162.561,
2665,Aruba,2023,8.033,74.782,0.0,,0.0,,74.782,
2939,Asia,2023,4.731,601626.875,30656.814,320257.656,6796.186,67403.453,170425.406,6085.935
3113,Asia (GCP),2023,,,,,,,,
3387,Asia (excl. China and India),2023,3.985,266225.312,10640.115,75622.125,6458.107,55786.453,116873.781,843.306
3661,Australia,2023,14.478,19664.301,199.912,10422.01,332.552,2304.913,6281.736,123.176
3867,Austria,2023,6.416,5693.515,143.45,2766.409,4.899,770.483,1969.17,39.105
4045,Azerbaijan,2023,4.258,2596.786,33.993,24.264,15.948,1119.817,1402.763,
4219,Bahamas,2023,6.272,176.126,4.262,0.275,0.0,,171.589,
4220,Bahrain,1750,,,0.0,,,,,
4221,Bahrain,1751,,,0.0,,,,,
4222,Bahrain,1752,,,0.0,,,,,
4223,Bahrain,1753,,,0.0,,,,,
4224,Bahrain,1754,,,0.0,,,,,
4225,Bahrain,1755,,,0.0,,,,,
4226,Bahrain,1756,,,0.0,,,,,
4227,Bahrain,1757,,,0.0,,,,,
4228,Bahrain,1758,,,0.0,,,,,
4229,Bahrain,1759,,,0.0,,,,,
4230,Bahrain,1760,,,0.0,,,,,
4231,Bahrain,1761,,,0.0,,,,,
4232,Bahrain,1762,,,0.0,,,,,
4233,Bahrain,1763,,,0.0,,,,,
4234,Bahrain,1764,,,0.0,,,,,
4235,Bahrain,1765,,,0.0,,,,,
4236,Bahrain,1766,,,0.0,,,,,
4237,Bahrain,1767,,,0.0,,,,,
4238,Bahrain,1768,,,0.0,,,,,
4239,Bahrain,1769,,,0.0,,,,,
4240,Bahrain,1770,,,0.0,,,,,
4241,Bahrain,1771,,,0.0,,,,,
4242,Bahrain,1772,,,0.0,,,,,
4243,Bahrain,1773,,,0.0,,,,,
4244,Bahrain,1774,,,0.0,,,,,
4245,Bahrain,1775,,,0.0,,,,,
4246,Bahrain,1776,,,0.0,,,,,
4247,Bahrain,1777,,,0.0,,,,,
4248,Bahrain,1778,,,0.0,,,,,
4249,Bahrain,1779,,,0.0,,,,,
4250,Bahrain,1780,,,0.0,,,,,
4251,Bahrain,1781,,,0.0,,,,,
